# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 69K of event 'cpu-clock:pppH'
# Event count (approx.): 17286500000
#
# Overhead  Command          Shared Object       Symbol                                                                
# ........  ...............  ..................  ......................................................................
#
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000033e7e0
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000034ab13
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000003e71e1
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000003e71fb
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000531ad8
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000005995c2
     0.02%  DartWorker       libc-2.31.so        [.] __nss_lookup
     0.02%  DartWorker       libtransport.so     [.] io_uring_submit_and_wait_timeout
     0.02%  DartWorker       [kernel.vmlinux]    [k] __list_del_entry_valid
     0.02%  DartWorker       [kernel.vmlinux]    [k] apparmor_ip_postroute
     0.02%  DartWorker       [kernel.vmlinux]    [k] tcp_established_options
     0.02%  DartWorker       [kernel.vmlinux]    [k] tomoyo_socket_sendmsg_permission
     0.02%  DartWorker       benchmark.exe       [.] Dart_PostCObject
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000334906
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000033e7e4
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000034c780
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000003573e2
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000039ed41
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000003d61a7
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000003ee921
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000057d8a4
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000599871
     0.02%  DartWorker       libpthread-2.31.so  [.] __condvar_confirm_wakeup
     0.02%  DartWorker       [kernel.vmlinux]    [k] __kmem_cache_free
     0.02%  DartWorker       [kernel.vmlinux]    [k] dev_hard_start_xmit
     0.02%  DartWorker       [kernel.vmlinux]    [k] mem_cgroup_charge_skmem
     0.02%  DartWorker       [kernel.vmlinux]    [k] tcp_recv_timestamp
     0.02%  DartWorker       [kernel.vmlinux]    [k] tomoyo_socket_sendmsg
     0.02%  DartWorker       [kernel.vmlinux]    [k] validate_xmit_skb.constprop.0
     0.02%  DartWorker       benchmark.exe       [.] _ZN8tcmalloc11ThreadCache11ListTooLongEPNS0_8FreeListEj
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000001eac00
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000031a050
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000033ef53
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000349560
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000039eed2
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000003d9283
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000004953b0
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000054664c
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000054ba84
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000057d8f2
